,Species,DNA (FASTA),cDNA (FASTA),CDS (FASTA),ncRNA (FASTA),Protein sequence (FASTA),Annotated sequence (EMBL),Annotated sequence (GenBank),Gene sets,Other annotations,Whole databases,Variation (GVF),Variation (VCF),Variation (VEP),cds_url,dna_url,prot_url
,Ophiocordyceps camponoti-leonardi (nom. inval.),FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_leonardi_nom_inval_gca_003339455/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_leonardi_nom_inval_gca_003339455/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_leonardi_nom_inval_gca_003339455/pep/
,Ophiocordyceps camponoti-rufipedis,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/ophiocordyceps_camponoti_rufipedis_gca_002591395/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/ophiocordyceps_camponoti_rufipedis_gca_002591395/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/ophiocordyceps_camponoti_rufipedis_gca_002591395/pep/
,Ophiocordyceps camponoti-saundersi (nom. inval.),FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_saundersi_nom_inval_gca_003339415/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_saundersi_nom_inval_gca_003339415/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_camponoti_saundersi_nom_inval_gca_003339415/pep/
,Ophiocordyceps polyrhachis-furcata BCC 54312,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_polyrhachis_furcata_bcc_54312_gca_001633055/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_polyrhachis_furcata_bcc_54312_gca_001633055/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/ophiocordyceps_polyrhachis_furcata_bcc_54312_gca_001633055/pep/
,Ophiocordyceps sinensis CO18,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiocordyceps_sinensis_co18_gca_000448365/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiocordyceps_sinensis_co18_gca_000448365/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiocordyceps_sinensis_co18_gca_000448365/pep/
,Ophiocordyceps unilateralis str. SC16a,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/ophiocordyceps_unilateralis_gca_001272575/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/ophiocordyceps_unilateralis_gca_001272575/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/ophiocordyceps_unilateralis_gca_001272575/pep/
,Ophiostoma piceae UAMH 11346 str. UAMH-11346,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiostoma_piceae_uamh_11346_gca_000410735/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiostoma_piceae_uamh_11346_gca_000410735/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/ophiostoma_piceae_uamh_11346_gca_000410735/pep/
,Ordospora colligata,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324935/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324935/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324935/pep/
,Ordospora colligata,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324945/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324945/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004324945/pep/
,Ordospora colligata,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004325055/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004325055/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_gca_004325055/pep/
,Ordospora colligata OC4,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_oc4_gca_000803265/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_oc4_gca_000803265/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_microsporidia1_collection/ordospora_colligata_oc4_gca_000803265/pep/
,Pachysolen tannophilus NRRL Y-2460,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/pachysolen_tannophilus_nrrl_y_2460_gca_001661245/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/pachysolen_tannophilus_nrrl_y_2460_gca_001661245/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/pachysolen_tannophilus_nrrl_y_2460_gca_001661245/pep/
,Panaeolus cyanescens,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/panaeolus_cyanescens_gca_002938355/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/panaeolus_cyanescens_gca_002938355/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota2_collection/panaeolus_cyanescens_gca_002938355/pep/
,Paracoccidioides brasiliensis Pb03,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb03_gca_000150475/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb03_gca_000150475/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb03_gca_000150475/pep/
,Paracoccidioides brasiliensis Pb18,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb18_gca_000150735/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb18_gca_000150735/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_brasiliensis_pb18_gca_000150735/pep/
,Paracoccidioides brasiliensis str. CNH,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713695/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713695/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713695/pep/
,Paracoccidioides brasiliensis str. Pb300,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713645/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713645/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paracoccidioides_brasiliensis_gca_001713645/pep/
,Paracoccidioides lutzii Pb01,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_sp_lutzii_pb01_gca_000150705/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_sp_lutzii_pb01_gca_000150705/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/paracoccidioides_sp_lutzii_pb01_gca_000150705/pep/
,Paramicrosporidium saccamoebae str. KSL3,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_rozellomycota1_collection/paramicrosporidium_saccamoebae_gca_002794465/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_rozellomycota1_collection/paramicrosporidium_saccamoebae_gca_002794465/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_rozellomycota1_collection/paramicrosporidium_saccamoebae_gca_002794465/pep/
,Paraphaeosphaeria sporulosa str. AP3s5-JAC2a,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paraphaeosphaeria_sporulosa_gca_001642045/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paraphaeosphaeria_sporulosa_gca_001642045/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/paraphaeosphaeria_sporulosa_gca_001642045/pep/
,Parasitella parasitica str. CBS 412.66,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/parasitella_parasitica_gca_000938895/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/parasitella_parasitica_gca_000938895/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/parasitella_parasitica_gca_000938895/pep/
,Paxillus involutus ATCC 200175,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_involutus_atcc_200175_gca_000827475/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_involutus_atcc_200175_gca_000827475/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_involutus_atcc_200175_gca_000827475/pep/
,Paxillus rubicundulus Ve08.2h10,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_rubicundulus_ve08_2h10_gca_000827395/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_rubicundulus_ve08_2h10_gca_000827395/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/paxillus_rubicundulus_ve08_2h10_gca_000827395/pep/
,Peltaster fructicola str. LNHT1506,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/peltaster_fructicola_gca_001592805/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/peltaster_fructicola_gca_001592805/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota4_collection/peltaster_fructicola_gca_001592805/pep/
,Penicilliopsis zonata CBS 506.65,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicilliopsis_zonata_cbs_506_65_gca_001890105/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicilliopsis_zonata_cbs_506_65_gca_001890105/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicilliopsis_zonata_cbs_506_65_gca_001890105/pep/
,Penicillium antarcticum,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_antarcticum_gca_002072345/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_antarcticum_gca_002072345/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_antarcticum_gca_002072345/pep/
,Penicillium arizonense,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_arizonense_gca_001773325/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_arizonense_gca_001773325/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_arizonense_gca_001773325/pep/
,Penicillium brasilianum str. LaBioMMi 136,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_brasilianum_gca_002016555/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_brasilianum_gca_002016555/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_brasilianum_gca_002016555/pep/
,Penicillium brasilianum str. MG11,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_brasilianum_gca_001048715/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_brasilianum_gca_001048715/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_brasilianum_gca_001048715/pep/
,Penicillium camemberti FM 013,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_camemberti_fm_013_gca_000513335/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_camemberti_fm_013_gca_000513335/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota2_collection/penicillium_camemberti_fm_013_gca_000513335/pep/
,Penicillium chrysogenum str. P2niaD18,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_chrysogenum_gca_000710275/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_chrysogenum_gca_000710275/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_chrysogenum_gca_000710275/pep/
,Penicillium coprophilum,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_coprophilum_gca_002072405/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_coprophilum_gca_002072405/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_coprophilum_gca_002072405/pep/
,Penicillium decumbens,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_decumbens_gca_002072245/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_decumbens_gca_002072245/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_decumbens_gca_002072245/pep/
,Penicillium digitatum PHI26,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_phi26_gca_000315665/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_phi26_gca_000315665/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_phi26_gca_000315665/pep/
,Penicillium digitatum Pd1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_pd1_gca_000315645/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_pd1_gca_000315645/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_digitatum_pd1_gca_000315645/pep/
,Penicillium expansum str. CMP-1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769755/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769755/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769755/pep/
,Penicillium expansum str. d1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769735/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769735/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_expansum_gca_000769735/pep/
,Penicillium flavigenum,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_flavigenum_gca_002072365/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_flavigenum_gca_002072365/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_flavigenum_gca_002072365/pep/
,Penicillium freii,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_freii_gca_001513925/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_freii_gca_001513925/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_freii_gca_001513925/pep/
,Penicillium griseofulvum str. PG3,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_griseofulvum_gca_001561935/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_griseofulvum_gca_001561935/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_griseofulvum_gca_001561935/pep/
,Penicillium italicum str. PHI-1,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_italicum_gca_000769765/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_italicum_gca_000769765/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota1_collection/penicillium_italicum_gca_000769765/pep/
,Penicillium nalgiovense,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nalgiovense_gca_002072425/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nalgiovense_gca_002072425/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nalgiovense_gca_002072425/pep/
,Penicillium nordicum,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nordicum_gca_001278595/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nordicum_gca_001278595/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota3_collection/penicillium_nordicum_gca_001278595/pep/
